beginDate,stage,price
2010-03-07,Paddy,290.0
2010-03-14,Paddy,281.25
2010-03-21,Paddy,273.75
2010-03-28,Paddy,262.5
2010-04-04,Paddy,262.5
2010-04-11,Paddy,262.5
2010-04-18,Paddy,252.5
2010-04-25,Paddy,247.5
2010-05-02,Paddy,247.5
2010-05-09,Paddy,241.25
2010-05-16,Paddy,241.25
2010-05-23,Paddy,241.25
2010-05-30,Paddy,240.0
2010-06-06,Paddy,240.0
2010-06-13,Paddy,242.5
2010-06-20,Paddy,243.75
2010-06-27,Paddy,246.25
2010-07-04,Paddy,251.25
2010-07-11,Paddy,258.75
2010-07-18,Paddy,263.5
2010-07-25,Paddy,263.5
2010-08-01,Paddy,263.5
2010-08-08,Paddy,262.25
2010-08-15,,
2010-08-22,,
2010-08-29,Paddy,228.0
2010-09-05,,
2010-09-12,,
2010-09-19,,
2010-09-26,,
2010-10-03,,
2010-10-10,Paddy,259.5
2010-10-17,Paddy,271.5
2010-10-24,Paddy,276.0
2010-10-31,Paddy,288.5
2010-11-07,Paddy,310.5
2010-11-14,Paddy,318.0
2010-11-21,Paddy,323.0
2010-11-28,Paddy,323.0
2010-12-05,Paddy,322.25
2010-12-12,Paddy,322.25
2010-12-19,Paddy,322.25
2010-12-26,Paddy,322.25
2011-01-02,Paddy,322.25
2011-01-09,Paddy,322.25
2011-01-16,Paddy,333.5
2011-01-23,Paddy,341.5
2011-01-30,Paddy,341.5
2011-02-06,Paddy,341.5
2011-02-13,Paddy,368.75
2011-02-20,Paddy,378.75
2011-02-27,Paddy,400.0
2011-03-06,Paddy,400.0
2011-03-13,Paddy,398.75
2011-03-20,Paddy,398.75
2011-03-27,Paddy,398.75
2011-04-03,Paddy,398.75
2011-04-10,Paddy,396.25
2011-04-17,Paddy,383.75
2011-04-24,Paddy,383.75
2011-05-01,Paddy,383.75
2011-05-08,Paddy,385.0
2011-05-15,Paddy,386.25
2011-05-22,Paddy,382.5
2011-05-29,Paddy,381.25
2011-06-05,Paddy,377.5
2011-06-12,Paddy,368.75
2011-06-19,Paddy,360.0
2011-06-26,Paddy,348.75
2011-07-03,Paddy,337.5
2011-07-10,Paddy,326.25
2011-07-17,Paddy,318.3333333333333
2011-07-24,Paddy,311.6666666666667
2011-07-31,Paddy,311.6666666666667
2011-08-07,Paddy,311.6666666666667
2011-08-14,,
2011-08-21,,
2011-08-28,Paddy,307.5
2011-09-04,Paddy,281.0
2011-09-11,,
2011-09-18,,
2011-09-25,,
2011-10-02,,
2011-10-09,Paddy,283.3333333333333
2011-10-16,Paddy,298.3333333333333
2011-10-23,Paddy,343.75
2011-10-30,Paddy,351.25
2011-11-06,Paddy,351.25
2011-11-13,Paddy,371.6666666666667
2011-11-20,Paddy,351.25
2011-11-27,Paddy,337.5
2011-12-04,Paddy,336.25
2011-12-11,Paddy,330.0
2011-12-18,Paddy,330.0
2011-12-25,Paddy,330.0
2012-01-01,Paddy,326.25
2012-01-08,Paddy,326.25
2012-01-15,Paddy,326.25
2012-01-22,Paddy,326.25
2012-01-29,Paddy,321.25
2012-02-05,Paddy,315.0
2012-02-12,Paddy,313.75
2012-02-19,Paddy,307.5
2012-02-26,Paddy,302.5
2012-03-04,Paddy,297.5
2012-03-11,Paddy,297.5
